nconst,primaryName,First Name,Last Name,birthYear,deathYear,primaryProfession,knownForTitles
nm0000515,Virginia Madsen,Virginia,Madsen,1961,\N,"actress,soundtrack,producer","tt0492044,tt0103919,tt0375063,tt0114194"
nm0847727,Oleg Taktarov,Oleg,Taktarov,1967,\N,actor,"tt0179626,tt0246894,tt1424381,tt0368891"
nm4148246,Clark Sarullo,Clark,Sarullo,1982,\N,"actress,writer,producer","tt0775440,tt9777666,tt3645318,tt1229340"
nm0413168,Hugh Jackman,Hugh,Jackman,1968,\N,"actor,soundtrack,producer","tt0458525,tt3315342,tt1707386,tt0120903"
nm0906031,Natasha Gregson Wagner,Natasha,Gregson Wagner,1970,\N,"actress,producer,soundtrack","tt0103893,tt0116922,tt0146882,tt0146336"
nm0000562,Jeremy Northam,Jeremy,Northam,1961,\N,"actor,soundtrack","tt0116191,tt0155388,tt0280707,tt0284978"
nm0185107,Julie Cox,Julie,Cox,1973,\N,actress,"tt0488604,tt0369084,tt4575328,tt0287839"
nm1522452,Field Blauvelt,Field,Blauvelt,\N,\N,"actor,miscellaneous,writer","tt0427392,tt2736904,tt0768240,tt2719796"
nm0001062,Jeffrey Combs,Jeffrey,Combs,1954,\N,"actor,soundtrack,miscellaneous","tt0116365,tt0106145,tt0089885,tt1999995"
nm0565973,Kandyse McClure,Kandyse,McClure,1980,\N,actress,"tt0407362,tt1121096,tt0319970,tt0165929"
nm0758391,Shawn Salinas,Shawn,Salinas,1986,\N,actor,tt0277895
nm1778703,Neil Nitin Mukesh,Neil,Nitin Mukesh,1982,\N,"actor,music_department,writer","tt1077248,tt3595298,tt3801314,tt1328634"
nm0001123,Dom DeLuise,Dom,DeLuise,1933,2009,"actor,soundtrack,director","tt0082136,tt0071230,tt0084649,tt0096787"
nm0273797,Sebastian Armesto,Sebastian,Armesto,1982,\N,"actor,director,writer","tt0758790,tt0810784,tt1298650,tt1521197"
nm0001297,Joel Grey,Joel,Grey,1932,\N,"actor,soundtrack","tt0168629,tt0089901,tt0068327,tt1024715"
nm0039148,Aaron Ashmore,Aaron,Ashmore,1979,\N,"actor,producer","tt3319920,tt3952222,tt0412253,tt1235448"
nm5114093,Kevin Curtis,Kevin,Curtis,\N,\N,"actor,music_department","tt7562112,tt3120054,tt8310612,tt11063096"
nm1787921,Brit Shaw,Brit,Shaw,\N,\N,"actress,producer,writer",tt2473510
nm4508578,Christopher de Padua,Christopher de,Padua,\N,\N,actor,"tt1996271,tt1986983,tt2909124"
