nconst,primaryName,First Name,Last Name,birthYear,deathYear,primaryProfession,knownForTitles,"Asian,GreaterEastAsian,EastAsian","Asian,GreaterEastAsian,Japanese","Asian,IndianSubContinent","GreaterAfrican,Africans","GreaterAfrican,Muslim","GreaterEuropean,British","GreaterEuropean,EastEuropean","GreaterEuropean,Jewish","GreaterEuropean,WestEuropean,French","GreaterEuropean,WestEuropean,Germanic","GreaterEuropean,WestEuropean,Hispanic","GreaterEuropean,WestEuropean,Italian","GreaterEuropean,WestEuropean,Nordic",race
nm2954597,Aryana Engineer,Aryana,Engineer,2001,\N,actress,"tt1855325,tt1148204,tt2530960,tt4278280",0.00805701,0.00040355284,0.05552575,0.44176173,0.28701246,0.12947951,0.0012993389,0.013317701,0.025047878,0.0036463367,0.014329424,0.012276956,0.007842379,"GreaterAfrican,Africans"
nm1214435,Charlie Cox,Charlie,Cox,1982,\N,actor,"tt3322312,tt2980516,tt0486655,tt10872600",0.0056037223,0.0025428894,0.0006138304,0.0007565801,0.00070126273,0.9473844,0.0013882089,0.019817935,0.00695001,0.00095185946,0.009808992,0.0032017676,0.00027851123,"GreaterEuropean,British"
nm0607375,David Morrissey,David,Morrissey,1964,\N,"actor,soundtrack,director","tt0467200,tt1520211,tt1297919,tt1684233",0.0013922236,0.0013507529,0.0017123941,0.0019821653,0.00036943625,0.92877114,0.0027156896,0.022347258,0.022834916,0.0024848816,0.004528459,0.0026840316,0.006826657,"GreaterEuropean,British"
nm2677811,John Mainieri,John,Mainieri,\N,\N,actor,"tt1216475,tt0765476,tt1185416,tt5825380",0.0019148705,0.0037830644,0.00069571513,0.0064429315,0.002025079,0.17279974,0.001093538,0.015350809,0.07725912,0.0038266943,0.012839962,0.69926524,0.0027031766,"GreaterEuropean,WestEuropean,Italian"
nm8449717,Karen Moskow,Karen,Moskow,\N,\N,actress,tt2679552,0.019823724,0.0088058,0.0034608098,0.008678882,0.0018393259,0.19167241,0.11730777,0.24435276,0.00988416,0.051432177,0.006458338,0.005099333,0.33118448,"GreaterEuropean,WestEuropean,Nordic"
nm4718901,Chris Schellenger,Chris,Schellenger,\N,\N,"actor,casting_department","tt3952614,tt3140724,tt2292959,tt10322172",0.008895046,0.0069606304,0.0015821975,0.0043946076,0.0010793582,0.679475,0.012375463,0.10078464,0.060273744,0.06683483,0.004065222,0.02201107,0.03126825,"GreaterEuropean,British"
nm0060280,Leo Bassi,Leo,Bassi,\N,\N,"actor,writer","tt0120709,tt0218761,tt0336585,tt0388341",0.0005594882,0.0003058582,0.003138512,0.013263852,0.0057538566,0.026081765,0.029451499,0.084798805,0.004972918,0.0070118415,0.009306964,0.81354034,0.0018143209,"GreaterEuropean,WestEuropean,Italian"
nm2674307,Patrick Brice,Patrick,Brice,1983,\N,"director,writer,actor","tt2428170,tt3844362,tt1862079,tt3654796",0.009373333,0.0023522691,0.007036405,0.006985787,0.0013295576,0.7679278,0.0050297473,0.017062096,0.103704415,0.008038011,0.007658482,0.05997364,0.0035285063,"GreaterEuropean,British"
nm0919525,Christopher Evan Welch,Christopher,Evan Welch,1965,2013,actor,"tt0497465,tt1560747,tt2575988,tt0443272",0.002873914,0.00019417067,0.0055370284,0.0011932809,0.0001689346,0.9631627,0.0017621536,0.0066054016,0.0061363247,0.0024811004,0.003364908,0.002573655,0.003946418,"GreaterEuropean,British"
nm0048932,Simon Baker,Simon,Baker,1969,\N,"actor,producer,director","tt1615147,tt1196946,tt0458352,tt0418819",0.00079656736,0.0011291056,0.0036803407,0.0051764343,0.004006405,0.89982766,0.0012310456,0.058828715,0.008315754,0.0026322259,0.008230473,0.004589383,0.0015558744,"GreaterEuropean,British"
nm4111780,Patrick Rutherford,Patrick,Rutherford,\N,\N,actor,tt1738366,0.009119599,0.0027341724,0.014343606,0.0087284,0.00028982962,0.9200772,0.0019346683,0.013434243,0.013147108,0.0023161627,0.0052411444,0.0069408426,0.0016930404,"GreaterEuropean,British"
nm0568444,Michael McElroy,Michael,McElroy,\N,\N,"actor,soundtrack,music_department","tt0368222,tt1273675,tt0159876,tt0114550",0.017299665,0.0025570525,0.0022887795,0.0030087465,0.0005190045,0.90485233,0.0022539014,0.018700609,0.013039265,0.009293363,0.012976636,0.006492019,0.0067186407,"GreaterEuropean,British"
nm0324462,Angela Goethals,Angela,Goethals,1977,\N,"actress,soundtrack","tt0437857,tt0116695,tt0099785,tt0371246",0.0076555703,0.024779193,0.029364305,0.056071382,0.0024115078,0.3495567,0.008411079,0.18937117,0.03605451,0.17004071,0.10598968,0.009065202,0.011229003,"GreaterEuropean,British"
nm1569067,Wilson Bethel,Wilson,Bethel,1984,\N,"actor,writer,producer","tt1791528,tt1832979,tt0995832,tt3205802",0.021992674,0.017137494,0.031058602,0.051437188,0.002144969,0.5080767,0.009555884,0.07753097,0.0459409,0.042983048,0.16168493,0.01099116,0.01946542,"GreaterEuropean,British"
