budget,genres,id,imdb_id,title,production_companies,production_countries,release_date,revenue,runtime,spoken_languages
4000000,"Drama, Romance",4629,tt0465436,December Boys,"{Village Roadshow Pictures}, {Australian Film Finance Corporation}","AU, GB, US",2007-09-20,46474,105,"[{'iso_639_1': 'en', 'name': 'English'}]"
0,"Comedy, Drama, Romance",15361,tt0469184,Shanghai Kiss,{Shanghai Kid Films},US,2007-03-17,0,106,"[{'iso_639_1': 'en', 'name': 'English'}]"
0,"Action, Adventure, Thriller, Drama",5353,tt0455782,The Hunting Party,{Intermedia Films},"BA, US",2007-09-03,0,101,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'hu', 'name': 'Magyar'}, {'iso_639_1': 'sh', 'name': ''}]"
51500000,"Thriller, Crime, Mystery",2252,tt0765443,Eastern Promises,"{BBC Films}, {Serendipity Point Films}, {Téléfilm Canada}, {Astral Media}, {Scion Films}, {Focus Features}, {Corus Entertainment}, {Shine Pictures}, {Kudos Film and Television}","GB, US, CA",2007-09-14,55112356,100,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'ru', 'name': 'Pусский'}, {'iso_639_1': 'tr', 'name': 'Türkçe'}, {'iso_639_1': 'uk', 'name': 'Український'}, {'iso_639_1': 'ur', 'name': 'اردو'}]"
1600000,"Drama, Crime, Mystery",14788,tt0454792,Bubble,"{Magnolia Pictures}, {Extension 765}",US,2005-09-03,0,73,"[{'iso_639_1': 'en', 'name': 'English'}]"
8000000,"Drama, Action, Thriller",13072,tt0283503,Brooklyn Rules,{City Light Films},US,2007-04-30,458232,99,"[{'iso_639_1': 'en', 'name': 'English'}]"
0,"Action, Adventure, Drama, Thriller",15071,tt0770806,The Contractor,"{April Productions}, {Chaintron}, {RMA Productions}","BG, GB, US",2007-07-10,0,105,"[{'iso_639_1': 'en', 'name': 'English'}]"
0,Drama,8414,tt0480269,Interview,"{Column Productions}, {Ironworks Productions}, {Kiss the Cactus}","NL, US, CA",2007-01-20,0,84,"[{'iso_639_1': 'en', 'name': 'English'}]"
22000000,"Drama, Action, Thriller, Crime",10425,tt0473188,The Death and Life of Bobby Z,"{Eclectic pictures}, {Millennium Films}","DE, US",2007-07-23,413454,97,"[{'iso_639_1': 'en', 'name': 'English'}]"
45000000,"Horror, Action, Science Fiction",7737,tt0432021,Resident Evil: Extinction,"{Impact Pictures}, {Davis-Films}, {Constantin Film Produktion}, {Resident Evil Productions}","AU, FR, DE, GB, US",2007-09-20,148412065,94,"[{'iso_639_1': 'en', 'name': 'English'}]"
22000000,"Comedy, Romance",13257,tt0419984,Mr. Woodcock,"{Avery Pix}, {Landscape Entertainment}",US,2007-09-14,0,87,"[{'iso_639_1': 'en', 'name': 'English'}]"
25000000,Comedy,10030,tt0452625,Good Luck Chuck,"{Lionsgate}, {Karz Entertainment}, {Province of British Columbia Production Services Tax Credit}, {Milestone Entertainment}, {Alberta Film Development Program of the Alberta Government}, {Chuck Productions}","CA, US",2007-09-21,59192128,101,"[{'iso_639_1': 'en', 'name': 'English'}]"
15000000,"Adventure, Drama",5915,tt0758758,Into the Wild,"{Paramount Vantage}, {River Road Entertainment}, {Art Linson Productions}, {Into the Wild}",US,2007-09-11,56255142,148,"[{'iso_639_1': 'da', 'name': 'Dansk'}, {'iso_639_1': 'en', 'name': 'English'}]"
22000000,"Comedy, Family",13680,tt0492956,The Game Plan,"{Walt Disney Pictures}, {Mayhem Pictures}, {Monkey Dance Productions}",US,2007-09-28,147880543,110,"[{'iso_639_1': 'en', 'name': 'English'}]"
15000000,"Action, Drama, Romance, Thriller",4588,tt0808357,"Lust, Caution","{River Road Entertainment}, {Focus Features}, {Haishang Films}","TW, CN, US",2007-09-28,0,156,"[{'iso_639_1': 'zh', 'name': '普通话'}]"
0,"Comedy, Drama, Romance",14313,tt0800027,Feast of Love,"{Lakeshore Entertainment}, {Revelations Entertainment}, {Greenestreet Films}",US,2007-09-28,5741608,101,"[{'iso_639_1': 'en', 'name': 'English'}]"
0,"Adventure, Drama, Fantasy, Family, Thriller",2274,tt0484562,The Seeker: The Dark Is Rising,"{Twentieth Century Fox Film Corporation}, {Marc Platt Productions}, {Walden Media}",US,2007-10-05,0,94,"[{'iso_639_1': 'en', 'name': 'English'}]"
60000000,Comedy,9038,tt0408839,The Heartbreak Kid,"{Conundrum Entertainment}, {Davis Entertainment}, {DreamWorks Pictures}, {Radar Pictures}",US,2007-10-05,127766650,116,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'Español'}]"
25000000,"Comedy, Romance, Drama",7211,tt0480242,Dan in Real Life,"{Touchstone Pictures}, {Focus Features}, {Jon Shestack Productions}",US,2007-10-26,68377859,98,"[{'iso_639_1': 'en', 'name': 'English'}]"
16000000,"Adventure, Drama, Comedy",4538,tt0838221,The Darjeeling Limited,"{Fox Searchlight Pictures}, {Scott Rudin Productions}",US,2007-09-29,24377151,91,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'hi', 'name': 'हिन्दी'}, {'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'bo', 'name': ''}]"
21000000,"Drama, Crime, Thriller",2001,tt0498399,We Own the Night,"{Columbia Pictures}, {Industry Entertainment}, {2929 Productions}",US,2007-05-25,54926886,117,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'ru', 'name': 'Pусский'}]"
25000000,"Drama, Mystery, Crime",4566,tt0465538,Michael Clayton,"{Castle Rock Entertainment}, {Mirage Enterprises}, {Section Eight Productions}",US,2007-09-28,92991835,119,"[{'iso_639_1': 'en', 'name': 'English'}]"
0,"Drama, Thriller",4520,tt0857265,Sleuth,"{Sony Pictures Classics}, {Castle Rock Entertainment}, {Timnick Films}, {Mandate Pictures}, {Riff Raff Film Productions}","GB, US",2007-10-12,342835,86,"[{'iso_639_1': 'en', 'name': 'English'}]"
12000000,"Comedy, Romance, Drama",6615,tt0805564,Lars and the Real Girl,"{Sidney Kimmel Entertainment}, {Metro-Goldwyn-Mayer (MGM)}, {Lars Productions}",US,2007-10-12,11293663,106,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'Español'}]"
30000000,"Horror, Thriller",4513,tt0389722,30 Days of Night,"{Columbia Pictures}, {Dark Horse Entertainment}, {Ghost House Pictures}, {HorrorFlix}","NZ, US",2007-10-17,75505973,113,"[{'iso_639_1': 'en', 'name': 'English'}]"
27500000,"Drama, Thriller",5125,tt0804522,Rendition,"{Anonymous Content}, {Level 1 Entertainment}, {MID Foundation}",US,2007-09-07,24748670,120,"[{'iso_639_1': 'ar', 'name': 'العربية'}, {'iso_639_1': 'en', 'name': 'English'}]"
16000000,Drama,3877,tt0469623,Things We Lost in the Fire,"{DreamWorks SKG}, {Neal Street Productions}, {DreamWorks Pictures}, {Province of British Columbia Production Services Tax Credit}",US,2007-09-26,2849142,113,"[{'iso_639_1': 'en', 'name': 'English'}]"
0,"Drama, Crime, Thriller",8954,tt0831884,Reservation Road,"{Nick Wechsler/Miracle Pictures}, {Volume One Entertainment}",US,2007-09-13,0,102,"[{'iso_639_1': 'en', 'name': 'English'}]"
19000000,"Crime, Drama, Mystery",4771,tt0452623,Gone Baby Gone,"{Miramax Films}, {The Ladd Company}",US,2007-10-19,34619699,113,"[{'iso_639_1': 'en', 'name': 'English'}]"
15000000,Comedy,10759,tt0790804,The Comebacks,{Fox Atomic},US,2007-10-19,0,107,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'pt', 'name': 'Português'}]"
0,"Drama, Action, Comedy",14251,tt0758798,Weirdsville,,"CA, US",2007-10-12,0,90,"[{'iso_639_1': 'en', 'name': 'English'}]"
0,"Comedy, Romance",14848,tt0486572,The Dog Problem,,US,2006-09-11,0,88,"[{'iso_639_1': 'en', 'name': 'English'}]"
0,Comedy,14930,tt0425395,Relative Strangers,"{Gordonstreet Pictures}, {Equity Pictures Medienfonds GmbH & Co. KG}, {Garlin Pictures}","DE, US",2006-05-01,0,84,"[{'iso_639_1': 'en', 'name': 'English'}]"
30000000,"Action, Drama, Western",4512,tt0443680,The Assassination of Jesse James by the Coward Robert Ford,"{Plan B Entertainment}, {Virtual Studios}, {Scott Free Productions}, {Alberta Film Entertainment}, {Warner Bros.}, {Jesse Films Inc.}","CA, GB, US",2007-09-02,14711793,160,"[{'iso_639_1': 'en', 'name': 'English'}]"
8000000,"Action, Crime, Drama, Mystery, Thriller",13197,tt0360323,10th & Wolf,{Thinkfilm},US,2006-02-19,143451,107,"[{'iso_639_1': 'en', 'name': 'English'}]"
0,"Action, Adventure, Drama, Thriller",14041,tt0446298,Civic Duty,{Splendid Film},"CA, GB, US",2006-04-26,0,98,"[{'iso_639_1': 'en', 'name': 'English'}]"
0,"Crime, Thriller",9898,tt0756672,The Killing Floor,,US,2007-05-10,0,94,"[{'iso_639_1': 'en', 'name': 'English'}]"
0,Drama,5708,tt0421082,Control,"{Becker International}, {Claraflora}, {EM Media}, {NorthSee}, {Weinstein Company, The}","JP, GB, US, AU",2007-09-26,8159508,121,"[{'iso_639_1': 'en', 'name': 'English'}]"
